station_id, latitude, longitude, country
86472,9.41667,-5.61667,Cote D'Ivoire
86473,9.5,-7.56667,Cote D'Ivoire
86474,43.51667,16.43333,Croatia
86475,45.81667,15.98333,Croatia
86476,34.71667,32.48333,Cyprus
86477,34.88333,33.63333,Cyprus
86478,35.15,33.4,Cyprus
86479,35.16667,33.35,Cyprus
86480,41.7,18.11667,Czech Republic
86481,49.16667,16.7,Czech Republic
86482,50.06667,12.38333,Czech Republic
86483,50.1,14.25,Czech Republic
86484,55.06667,14.75,Denmark
86485,55.68333,12.55,Denmark
86486,57.1,9.85,Denmark
86487,15.38333,-61.4,Dominica
86488,15.53333,-61.3,Dominica
86489,-4.03333,-79.2,Ecuador
86490,-2.55,-78.93333,Ecuador
86491,-2.15,-79.88333,Ecuador
86492,-1.5,-77.93333,Ecuador
86493,-1.1,-79.45,Ecuador
86494,-1.03333,-80.45,Ecuador
86495,-1.01667,-78.58333,Ecuador
86496,-0.91667,-75.41667,Ecuador
86497,-0.9,-89.6,Ecuador
86498,-0.43333,-79.58333,Ecuador
86499,-0.36667,-78.55,Ecuador
86500,-0.13333,-78.48333,Ecuador
86501,0.01667,-79.36667,Ecuador
86502,0.8,-77.7,Ecuador
86503,57.85,-27.01667,Estonia
86504,59.38333,24.58333,Estonia
86505,62.01667,-6.76667,Faroe Islands
86506,-20.66667,-178.71667,Fiji
86507,-19.05,178.16667,Fiji
86508,-18.03333,178.55,Fiji
86509,-17.75,177.43333,Fiji
86510,-16.13333,-179.98333,Fiji
86511,-12.5,177.05,Fiji
86512,60.33333,24.96667,Finland
86513,60.51667,22.28333,Finland
86514,60.81667,23.5,Finland
86515,62.4,25.68333,Finland
86516,64.28333,27.68333,Finland
86517,67.36667,26.63333,Finland
86518,41.91667,84.8,France
86519,42.73333,25.41667,France
86520,43.43333,51.6,France
86521,43.61667,12.45,France
86522,43.65,71.33333,France
86523,43.85,42.73333,France
86524,44.81667,-4.25,France
86525,45.71667,45.61667,France
86526,47.06667,22.33333,France
86527,47.15,-13.65,France
86528,47.26667,50.91667,France
86529,48.06667,-14.6,France
86530,48.43333,-42.76667,France
86531,48.53333,73.83333,France
86532,48.68333,61.53333,France
86533,48.96667,22.91667,France
86534,50.56667,30.91667,France
86535,3.13333,-54.03333,French Guiana [France]
86536,3.88333,-51.8,French Guiana [France]
86537,4.83333,-52.36667,French Guiana [France]
86538,5.2,-52.4,French Guiana [France]
86539,5.5,-54.03333,French Guiana [France]
86540,-17.55,-149.6,French Polynesia [France]
86541,41.68333,44.95,Georgia
86542,42.16667,42.41667,Georgia
86543,47.41667,10.98333,Germany
86544,47.8,11.01667,Germany
86545,48.36667,11.8,Germany
