station_ID,num of measurements 1961-2000,lat,lon
86315,33,48.36667,-89.31667
86316,120,48.53333,-58.55
86317,120,48.63333,-123.41667
86318,120,48.93333,-54.56667
86319,119,49.18333,-123.18333
86320,120,49.21667,-102.96667
86321,120,49.41667,-82.46667
86322,120,49.63333,-112.8
86323,118,49.91667,-97.23333
86324,120,50.11667,-91.9
86325,120,50.18333,-61.81667
86326,98,50.21667,-66.26667
86327,119,50.26667,-107.73333
86328,120,50.43333,-104.66667
86329,120,50.66667,-127.36667
86330,120,50.7,-120.45
86331,120,51.11667,-114.01667
86332,77,51.26667,-80.65
86333,120,53.01667,-122.5
86334,120,53.21667,-105.66667
86335,120,53.31667,-113.58333
86336,120,53.31667,-60.41667
86337,120,53.56667,-113.51667
86338,120,53.7,-57.03333
86339,57,53.75,-73.66667
86340,120,53.88333,-122.66667
86341,120,53.96667,-101.1
86342,112,54.25,-133.05
86343,114,54.28333,-130.43333
86344,120,54.41667,-110.28333
86345,33,54.8,-66.81667
86346,120,55.15,-105.26667
86347,120,55.28333,-77.75
86348,120,55.8,-97.86667
86349,120,56.65,-111.21667
86350,120,56.86667,-101.08333
86351,120,58.1,-68.41667
86352,36,58.46667,-78.08333
86353,119,58.61667,-117.16667
86354,120,58.73333,-94.05
86355,120,58.83333,-122.58333
86356,120,60.01667,-111.96667
86357,93,60.11667,-128.81667
86358,91,60.7,-135.06667
86359,120,60.83333,-115.76667
86360,120,61.76667,-121.23333
86361,120,62.46667,-114.43333
86362,109,63.61667,-135.86667
86363,77,63.75,-68.55
86364,116,64.2,-83.36667
86365,120,64.3,-96.06667
86366,120,65.28333,-126.8
86367,56,66.15,-65.71667
86368,120,67.81667,-115.13333
86369,101,68.3,-133.48333
86370,120,68.76667,-81.23333
86371,120,69.1,-105.13333
86372,87,70.48333,-68.51667
86373,120,74.71667,-94.98333
86374,72,76.23333,-119.33333
86375,119,79.98333,-85.93333
86376,120,82.51667,-62.28333
86377,116,14.91667,-23.5
86378,120,16.73333,-22.95
86379,120,-53.0,-70.85
86380,114,-45.9,-71.71667
86381,119,-45.58333,-72.11667
86382,120,-41.43333,-73.11667
86383,119,-40.6,-73.06667
86384,111,-39.63333,-73.08333
86385,120,-38.75,-72.63333
86386,120,-36.76667,-73.05
86387,111,-36.56667,-72.03333
86388,117,-34.96667,-71.23333
86389,120,-33.66667,-78.98333
86390,120,-33.43333,-70.68333
86391,120,-33.38333,-70.75
86392,117,-29.9,-71.33333
86393,120,-23.43333,-70.43333
86394,120,-20.53333,-70.18333
86395,120,-18.33333,-70.33333
86396,120,22.16667,113.56667
86397,120,22.63333,108.21667
86398,120,23.13333,113.33333
86399,120,23.4,116.68333
86400,120,25.01667,98.5
86401,119,25.01667,102.68333
86402,120,25.85,114.95
86403,120,27.45,109.68333
86404,120,27.9,102.26667
86405,120,28.6,115.91667
86406,120,29.66667,91.13333
86407,120,30.66667,104.01667
86408,120,30.7,111.3
86409,120,31.15,97.16667
86410,120,34.3,108.93333
86411,120,34.71667,113.65
86412,120,36.05,103.88333
86413,120,36.06667,120.33333
86414,120,37.13333,79.93333
86415,120,37.78333,112.55
86416,120,38.48333,106.21667
86417,120,39.03333,88.16667
86418,120,39.46667,75.98333
86419,120,39.76667,98.48333
86420,120,39.8,116.46667
86421,120,41.73333,123.78333
86422,120,42.81667,93.51667
86423,120,42.88333,129.46667
86424,120,43.65,111.96667
86425,120,43.95,81.33333
86426,120,47.38333,123.91667
86427,120,47.73333,88.08333
86428,120,49.21667,119.75
86429,120,-4.15,-69.95
86430,119,0.85,-77.68333
86431,120,1.4,-77.28333
86432,120,2.96667,-75.3
86433,120,3.55,-76.38333
86434,120,4.16667,-73.61667
86435,119,4.55,-70.91667
86436,120,4.71667,-74.15
86437,120,6.21667,-75.58333
86438,120,7.01667,-73.8
86439,120,7.58333,-72.6
86440,120,7.93333,-72.51667
86441,120,10.45,-75.51667
86442,120,10.88333,-74.78333
86443,120,12.58333,-81.71667
86444,116,-12.8,45.28333
86445,199,-4.81667,11.9
86446,229,-4.25,15.25
86447,202,-4.2,12.7
86448,204,-4.0,13.95
86449,188,-3.48333,12.61667
86450,196,-2.61667,16.21667
86451,205,-2.53333,14.76667
86452,221,-1.9,15.85
86453,192,-0.01667,15.58333
86454,231,1.61667,16.06667
86455,228,1.61667,18.06667
86456,107,2.06667,14.05
86457,120,9.95,-83.01667
86458,120,10.0,-84.2
86459,119,10.6,-85.53333
86460,120,4.41667,-7.36667
86461,120,4.75,-6.65
86462,120,4.95,-6.08333
86463,120,5.25,-3.93333
86464,120,5.3,-3.3
86465,120,6.13333,-5.95
86466,120,6.65,-4.7
86467,120,6.86667,-6.46667
86468,120,6.9,-5.35
86469,120,7.4,-7.51667
86470,120,7.73333,-5.06667
86471,120,8.05,-2.78333
86472,120,9.41667,-5.61667
86473,120,9.5,-7.56667
86474,120,43.51667,16.43333
86475,120,45.81667,15.98333
86476,120,34.71667,32.48333
86477,120,34.88333,33.63333
86478,120,35.15,33.4
86479,120,35.16667,33.35
86480,120,41.7,18.11667
86481,120,49.16667,16.7
86482,120,50.06667,12.38333
86483,120,50.1,14.25
86484,120,55.06667,14.75
86485,120,55.68333,12.55
86486,120,57.1,9.85
86487,120,15.38333,-61.4
86488,120,15.53333,-61.3
86489,120,-4.03333,-79.2
86490,117,-2.55,-78.93333
86491,120,-2.15,-79.88333
